FIELD	COUNT	DESC
ReadPairs_UniqueGene_CDS	2368826	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	1922727	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	5374486	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	4541163	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	113856	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	361731	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	357736	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	64252	Number of known genes
Genes_WithZeroCounts	42079	Number of genes with zero observed reads
Genes_WithNonzeroCounts	22173	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	11939619	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	282	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	477	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	841001	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	11097859	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	862	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	862	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	0	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.47330517770872493	Average GC fraction for read 1
AVG_GC_R2	0.4773621880529458	Average GC fraction for read 2
AVG_GC	0.4753336828808354	Average GC fraction across all reads
AggregateGenes	60186	Number of aggregate genes
AggregateGenes_NoReads	39036	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	21150	Number of aggregate genes with 1 or more observed reads
SpliceLoci	378681	Number of splice loci observed
SpliceLoci_Known	369079	Number of known splice loci
SpliceLoci_Known_NoReads	289820	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	30631	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	48628	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	9602	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	9080	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	522	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	1100565	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	1085190	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	55631	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	1029559	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	15375	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	11301	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	4074	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	6101867	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	140729	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	234324	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	5462319	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	1242	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	248	Number of chromosomes with 1 or more aligned reads.
deletionLoci	15989	Number of observed deletion loci
insertionLoci	25567	Number of observed insertion loci
deletionEventCt	19497	Number of times deletions are observed in a read
insertionEventCt	32224	Number of times insertions are observed in a read
highCoverageDeletionLoci	117	Number of high-coverage deletion loci.
highCoverageInsertionLoci	130	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	19497	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	20009	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	0	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	39506	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	11900975	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	19417	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	19902	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	11901162	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	80	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	107	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	11940294	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	11100204	Number of read-pairs with no overlap, arranged normally
OM_overlap	840277	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	826982	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	13295	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	11940481	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	11940481	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	50	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1679878655746	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1679879586955	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
