FIELD	COUNT	DESC
ReadPairs_NoGene_MiddleOfNowhere	4746336	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	64252	Number of known genes
Genes_WithZeroCounts	24300	Number of genes with zero observed reads
Genes_WithNonzeroCounts	39952	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	16221535	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	2221	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	3656	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	3799218	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	12416440	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	2654	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	2651	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	3	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.4383903201047312	Average GC fraction for read 1
AVG_GC_R2	0.4439649143350597	Average GC fraction for read 2
AVG_GC	0.44117761721989546	Average GC fraction across all reads
AggregateGenes	60186	Number of aggregate genes
AggregateGenes_NoReads	21687	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	38499	Number of aggregate genes with 1 or more observed reads
SpliceLoci	378850	Number of splice loci observed
SpliceLoci_Known	369079	Number of known splice loci
SpliceLoci_Known_NoReads	299061	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	28542	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	41476	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	9771	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	9232	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	539	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	922304	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	906566	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	51166	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	855400	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	15738	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	11529	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	4209	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	4143843	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	260061	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	186734	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	11632083	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	1468	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	510	Number of chromosomes with 1 or more aligned reads.
deletionLoci	24525	Number of observed deletion loci
insertionLoci	21985	Number of observed insertion loci
deletionEventCt	27757	Number of times deletions are observed in a read
insertionEventCt	25960	Number of times insertions are observed in a read
highCoverageDeletionLoci	75	Number of high-coverage deletion loci.
highCoverageInsertionLoci	73	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	27757	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	21675	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	0	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	49432	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	16174757	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	27362	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	21364	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	16175463	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	395	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	311	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	16223483	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	12422917	Number of read-pairs with no overlap, arranged normally
OM_overlap	3801272	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	3720044	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	81228	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	16224189	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	16224189	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	50	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1679870295194	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1679871515210	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
